,dihydrokaempferol,gamma-glutamyltyrosine,epicatechin,2-palmitoyl-GPC* (16:0)*,dexpanthenol,mannose,N-methylleucine,4-hydroxyhippurate,vanillin,leucylglycine,3-methyl-2-oxobutyrate,p-cresol sulfate,taurolithocholate 3-sulfate,dimethyl sulfone,taurochenodeoxycholate,pyridoxine (Vitamin B6),isobutyrylcarnitine (C4),3-(N-acetyl-L-cystein-S-yl) acetaminophen,lanosterol,ectoine,cortolone glucuronide (1),"sphingomyelin (d18:2/24:1, d18:1/24:2)*",sucralose,N-carbamoylalanine,N-methyl-GABA,2-myristoylglycerol (14:0),tartronate (hydroxymalonate),4-hydroxybenzoate,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),chlorogenate,8-hydroxyguanine,5-methylthioadenosine (MTA),beta-hydroxyisovalerate,"bilirubin (E,E)*",retinol (Vitamin A),linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,vanillic acid glycine,tiglyl carnitine (C5),ascorbic acid 3-sulfate*,ponciretin,daidzein,"1,6-anhydroglucose","1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",tetrahydrocortisol glucuronide ,pantetheine,2-methylmalonylcarnitine (C4-DC),"5,6-dihydrouracil","N,N-dimethylalanine",behenoyl ethanolamide (22:0)*,N-propionylmethionine,1-linoleoyl-digalactosylglycerol (18:2)*,gamma-glutamyl-alpha-lysine,dopamine 3-O-sulfate,"1,3-propanediol",2-hydroxyheptanoate*,3-phenylpropionate (hydrocinnamate),citrate,methionine sulfone,eriodictyol,N(1)-acetylspermine,"1,3-dimethylurate",argininosuccinate,palmitoylcholine,soyasaponin I,isocaproate (i6:0),methyl indole-3-acetate,3-hydroxystearate,N-succinyl-leucine,C-glycosyltryptophan,maltol,stearidonate (18:4n3),tryptamine,4-acetamidobenzoate,2-stearoyl-GPE (18:0)*,3-hydroxy-2-methylpyridine,tyrosylglycine,N-acetylsphingosine,gamma-glutamylglutamate,tartarate,N-succinyl-phenylalanine,dihydroferulic acid sulfate,xylose,hypotaurine,spermine,N-carbamoylaspartate,phenol sulfate,3-hydroxyhexanoate,solanidine,3-hydroxymargarate,8-hydroxyoctanoate,vanillylmandelate (VMA),heptadecatrienoate (17:3)*,gamma-glutamylisoleucine*,etiocholanolone glucuronide,guanidinosuccinate,paraxanthine,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",taurochenodeoxycholic acid 3-sulfate,12-dehydrocholate,pimelate (C7-DC),10-undecenoate (11:1n1),diosmetin,1-linoleoyl-GPC (18:2),ribitol,1-linoleoyl-GPE (18:2)*,5-acetylamino-6-formylamino-3-methyluracil,2-oxo-1-pyrrolidinepropionate,pseudouridine,"2,8-quinolinediol",tauroursodeoxycholate,decanoylcarnitine (C10),behenoyl sphingomyelin (d18:1/22:0)*,N-acetyl-3-methylhistidine*,sarcosine,indole,leucylalanine,glycyrrhetinate,gamma-glutamylvaline,propionylcarnitine (C3),beta-citrylglutamate,3-hydroxystachydrine*,allo-threonine,ergosterol,butyrylglycine (C4),glutarylcarnitine (C5-DC),syringaldehyde,hesperidin,"3,4-dihydroxyphenylacetate",N-oleoylglycine,myristoleoylcarnitine (C14:1)*,isoursodeoxycholate,N-acetylcarnosine,indolin-2-one,N1-methylinosine,3-hydroxydecanoate,luteolin,1-ribosyl-imidazoleacetate*,3beta-hydroxy-5-cholestenoate,gamma-CEHC,phenylacetylaspartate,"1,5-anhydroglucitol (1,5-AG)",lithocholate,isovitexin,"3,5-dihydroxyphenylpropionate",myristoylcarnitine (C14),(R)-salsolinol,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),levulinate (4-oxovalerate),orotidine,3-hydroxyoctanoate,dihydroquercetin,histidine betaine (hercynine)*,"5,6-dihydrothymine"
chlorogenate,13.0,14.0,13.0,13.0,12.0,9.0,14.0,14.0,11.0,13.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,16.0,11.0,15.0,11.0,12.0,9.0,15.0,13.0,13.0,11.0,12.0,12.0,0.0,11.0,11.0,12.0,11.0,11.0,11.0,14.0,12.0,12.0,12.0,12.0,10.0,14.0,12.0,13.0,12.0,12.0,14.0,14.0,14.0,13.0,13.0,12.0,6.0,12.0,10.0,11.0,14.0,12.0,13.0,12.0,14.0,13.0,13.0,13.0,12.0,12.0,14.0,11.0,11.0,11.0,11.0,12.0,13.0,11.0,13.0,11.0,14.0,8.0,14.0,12.0,9.0,11.0,13.0,14.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,13.0,12.0,14.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,13.0,8.0,13.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,14.0,14.0,11.0,13.0,11.0,13.0,12.0,14.0,14.0,15.0,12.0,15.0,12.0,11.0,13.0,12.0,15.0,12.0,13.0,11.0,11.0,10.0,11.0,11.0,10.0,13.0,11.0,14.0,8.0,13.0,12.0,10.0,12.0,10.0,12.0,11.0,10.0,11.0,13.0,14.0,12.0
8-hydroxyguanine,10.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,6.0,9.0,13.0,8.0,12.0,8.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,9.0,11.0,0.0,8.0,9.0,6.0,8.0,8.0,11.0,9.0,7.0,9.0,9.0,5.0,11.0,9.0,10.0,9.0,7.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,7.0,8.0,11.0,9.0,10.0,3.0,11.0,10.0,10.0,10.0,7.0,9.0,11.0,6.0,6.0,8.0,6.0,9.0,10.0,6.0,10.0,8.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,3.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,7.0,6.0,7.0,6.0,9.0,9.0,8.0,11.0,11.0,6.0,10.0,8.0,10.0,9.0,11.0,11.0,12.0,9.0,12.0,9.0,8.0,10.0,9.0,12.0,9.0,10.0,8.0,6.0,7.0,8.0,8.0,7.0,10.0,6.0,11.0,9.0,10.0,9.0,7.0,9.0,5.0,9.0,8.0,7.0,8.0,10.0,11.0,7.0
5-methylthioadenosine (MTA),10.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,13.0,8.0,12.0,8.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,9.0,11.0,8.0,0.0,9.0,8.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0,7.0,11.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,7.0,8.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,5.0,8.0,9.0,9.0,8.0,11.0,11.0,8.0,10.0,8.0,10.0,9.0,11.0,11.0,12.0,9.0,12.0,9.0,8.0,10.0,9.0,12.0,9.0,10.0,8.0,8.0,5.0,8.0,8.0,5.0,10.0,8.0,11.0,9.0,10.0,9.0,7.0,9.0,7.0,9.0,8.0,5.0,8.0,10.0,11.0,9.0
beta-hydroxyisovalerate,11.0,12.0,11.0,9.0,6.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,6.0,14.0,7.0,13.0,7.0,8.0,11.0,13.0,11.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,0.0,9.0,7.0,5.0,12.0,6.0,10.0,10.0,10.0,8.0,10.0,8.0,11.0,6.0,10.0,12.0,12.0,12.0,9.0,11.0,10.0,10.0,4.0,8.0,9.0,12.0,10.0,11.0,10.0,12.0,11.0,9.0,5.0,10.0,4.0,12.0,9.0,9.0,5.0,9.0,10.0,9.0,9.0,11.0,7.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,8.0,4.0,9.0,9.0,4.0,11.0,8.0,12.0,10.0,7.0,8.0,9.0,4.0,4.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,6.0,7.0,12.0,12.0,9.0,11.0,7.0,11.0,6.0,12.0,12.0,13.0,8.0,13.0,6.0,9.0,11.0,10.0,13.0,6.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,12.0,10.0,9.0,10.0,8.0,6.0,8.0,8.0,9.0,8.0,9.0,11.0,12.0,10.0
"bilirubin (E,E)*",10.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,9.0,8.0,9.0,6.0,9.0,13.0,8.0,12.0,8.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,9.0,11.0,6.0,8.0,9.0,0.0,8.0,8.0,11.0,9.0,7.0,9.0,9.0,5.0,11.0,9.0,10.0,9.0,7.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,7.0,8.0,11.0,9.0,10.0,7.0,11.0,10.0,10.0,10.0,7.0,9.0,11.0,6.0,6.0,8.0,6.0,9.0,10.0,6.0,10.0,8.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,11.0,7.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,7.0,6.0,7.0,6.0,9.0,9.0,8.0,11.0,11.0,6.0,10.0,8.0,10.0,9.0,11.0,11.0,12.0,9.0,12.0,9.0,8.0,10.0,9.0,12.0,9.0,10.0,8.0,6.0,7.0,8.0,8.0,7.0,10.0,6.0,11.0,9.0,10.0,9.0,7.0,9.0,5.0,9.0,8.0,7.0,8.0,10.0,11.0,7.0
retinol (Vitamin A),10.0,11.0,10.0,8.0,7.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,7.0,8.0,7.0,8.0,7.0,13.0,4.0,12.0,6.0,7.0,10.0,12.0,10.0,8.0,8.0,9.0,7.0,11.0,8.0,8.0,7.0,8.0,0.0,6.0,11.0,7.0,9.0,9.0,9.0,7.0,9.0,7.0,10.0,7.0,9.0,11.0,11.0,11.0,8.0,10.0,9.0,9.0,7.0,7.0,8.0,11.0,9.0,10.0,9.0,11.0,10.0,6.0,8.0,9.0,7.0,11.0,8.0,8.0,6.0,8.0,9.0,8.0,8.0,10.0,6.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,10.0,7.0,11.0,9.0,6.0,7.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,6.0,11.0,11.0,8.0,10.0,4.0,10.0,7.0,11.0,11.0,12.0,7.0,12.0,7.0,8.0,10.0,9.0,12.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,11.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,10.0,11.0,9.0
linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,10.0,11.0,10.0,8.0,5.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,7.0,8.0,7.0,8.0,5.0,13.0,6.0,12.0,6.0,7.0,10.0,12.0,10.0,8.0,8.0,9.0,7.0,11.0,8.0,8.0,5.0,8.0,6.0,0.0,11.0,5.0,9.0,9.0,9.0,7.0,9.0,7.0,10.0,5.0,9.0,11.0,11.0,11.0,8.0,10.0,9.0,9.0,5.0,7.0,8.0,11.0,9.0,10.0,9.0,11.0,10.0,8.0,6.0,9.0,5.0,11.0,8.0,8.0,2.0,8.0,9.0,8.0,8.0,10.0,6.0,11.0,9.0,11.0,9.0,10.0,8.0,10.0,11.0,9.0,8.0,7.0,5.0,8.0,8.0,5.0,10.0,7.0,11.0,9.0,6.0,7.0,8.0,5.0,5.0,9.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,7.0,5.0,6.0,11.0,11.0,8.0,10.0,6.0,10.0,5.0,11.0,11.0,12.0,7.0,12.0,5.0,8.0,10.0,9.0,12.0,5.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,11.0,9.0,8.0,9.0,7.0,5.0,7.0,7.0,8.0,7.0,8.0,10.0,11.0,9.0
vanillic acid glycine,13.0,14.0,13.0,13.0,12.0,13.0,14.0,2.0,9.0,13.0,11.0,12.0,12.0,11.0,12.0,11.0,12.0,16.0,11.0,15.0,11.0,12.0,13.0,15.0,13.0,13.0,11.0,6.0,12.0,14.0,11.0,11.0,12.0,11.0,11.0,11.0,0.0,12.0,12.0,12.0,12.0,10.0,14.0,12.0,13.0,12.0,12.0,14.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,10.0,11.0,14.0,12.0,13.0,12.0,14.0,13.0,13.0,13.0,12.0,12.0,14.0,11.0,11.0,11.0,11.0,6.0,13.0,11.0,13.0,11.0,14.0,12.0,14.0,12.0,13.0,11.0,13.0,14.0,12.0,11.0,12.0,12.0,11.0,9.0,12.0,13.0,12.0,14.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,13.0,12.0,13.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,14.0,14.0,11.0,13.0,11.0,13.0,12.0,14.0,14.0,15.0,12.0,15.0,12.0,9.0,13.0,10.0,15.0,12.0,13.0,11.0,11.0,10.0,11.0,11.0,10.0,13.0,11.0,14.0,12.0,13.0,12.0,10.0,12.0,10.0,12.0,11.0,10.0,11.0,13.0,14.0,12.0
tiglyl carnitine (C5),11.0,12.0,11.0,9.0,6.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,2.0,14.0,7.0,13.0,7.0,8.0,11.0,13.0,11.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,6.0,9.0,7.0,5.0,12.0,0.0,10.0,10.0,10.0,8.0,10.0,8.0,11.0,2.0,10.0,12.0,12.0,12.0,9.0,11.0,10.0,10.0,6.0,8.0,9.0,12.0,10.0,11.0,10.0,12.0,11.0,9.0,7.0,10.0,6.0,12.0,9.0,9.0,5.0,9.0,10.0,9.0,9.0,11.0,7.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,8.0,6.0,9.0,9.0,6.0,11.0,8.0,12.0,10.0,7.0,8.0,9.0,6.0,6.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,2.0,7.0,12.0,12.0,9.0,11.0,7.0,11.0,2.0,12.0,12.0,13.0,8.0,13.0,2.0,9.0,11.0,10.0,13.0,2.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,12.0,10.0,9.0,10.0,8.0,2.0,8.0,8.0,9.0,8.0,9.0,11.0,12.0,10.0
ascorbic acid 3-sulfate*,11.0,12.0,11.0,11.0,10.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,7.0,10.0,14.0,9.0,13.0,9.0,10.0,11.0,13.0,11.0,11.0,9.0,10.0,10.0,12.0,7.0,9.0,10.0,7.0,9.0,9.0,12.0,10.0,0.0,10.0,10.0,6.0,12.0,10.0,11.0,10.0,8.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,8.0,9.0,12.0,10.0,11.0,8.0,12.0,11.0,11.0,11.0,8.0,10.0,12.0,7.0,7.0,9.0,7.0,10.0,11.0,7.0,11.0,9.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,7.0,8.0,7.0,10.0,10.0,9.0,12.0,12.0,7.0,11.0,9.0,11.0,10.0,12.0,12.0,13.0,10.0,13.0,10.0,9.0,11.0,10.0,13.0,10.0,11.0,9.0,7.0,8.0,9.0,9.0,8.0,11.0,7.0,12.0,10.0,11.0,10.0,8.0,10.0,6.0,10.0,9.0,8.0,9.0,11.0,12.0,8.0
ponciretin,7.0,12.0,7.0,11.0,10.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,14.0,9.0,13.0,9.0,10.0,11.0,13.0,11.0,11.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,10.0,0.0,8.0,8.0,12.0,10.0,11.0,10.0,10.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,6.0,9.0,12.0,6.0,11.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,2.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,12.0,12.0,9.0,11.0,9.0,11.0,10.0,12.0,12.0,13.0,10.0,13.0,10.0,9.0,7.0,10.0,13.0,10.0,11.0,9.0,9.0,8.0,9.0,5.0,8.0,11.0,9.0,12.0,10.0,11.0,6.0,6.0,10.0,8.0,10.0,9.0,8.0,9.0,7.0,12.0,10.0
daidzein,9.0,12.0,9.0,11.0,10.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,14.0,9.0,13.0,9.0,10.0,11.0,13.0,11.0,11.0,9.0,10.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,10.0,8.0,0.0,8.0,12.0,10.0,11.0,10.0,10.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,6.0,9.0,12.0,8.0,11.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,12.0,12.0,9.0,11.0,9.0,11.0,10.0,12.0,12.0,13.0,10.0,13.0,10.0,9.0,9.0,10.0,13.0,10.0,11.0,9.0,9.0,8.0,9.0,7.0,8.0,11.0,9.0,12.0,10.0,11.0,8.0,6.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,12.0,10.0
"1,6-anhydroglucose",9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,7.0,9.0,7.0,8.0,8.0,7.0,8.0,5.0,8.0,12.0,7.0,11.0,7.0,8.0,9.0,11.0,9.0,9.0,7.0,8.0,8.0,10.0,5.0,7.0,8.0,5.0,7.0,7.0,10.0,8.0,6.0,8.0,8.0,0.0,10.0,8.0,9.0,8.0,6.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,6.0,7.0,10.0,8.0,9.0,6.0,10.0,9.0,9.0,9.0,6.0,8.0,10.0,5.0,5.0,7.0,5.0,8.0,9.0,5.0,9.0,7.0,10.0,8.0,10.0,8.0,9.0,7.0,9.0,10.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,10.0,6.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,6.0,5.0,6.0,5.0,8.0,8.0,7.0,10.0,10.0,5.0,9.0,7.0,9.0,8.0,10.0,10.0,11.0,8.0,11.0,8.0,7.0,9.0,8.0,11.0,8.0,9.0,7.0,5.0,6.0,7.0,7.0,6.0,9.0,5.0,10.0,8.0,9.0,8.0,6.0,8.0,4.0,8.0,7.0,6.0,7.0,9.0,10.0,6.0
"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",13.0,14.0,13.0,11.0,10.0,13.0,14.0,14.0,11.0,13.0,11.0,12.0,10.0,11.0,10.0,11.0,10.0,16.0,9.0,15.0,9.0,10.0,13.0,15.0,13.0,9.0,11.0,12.0,10.0,14.0,11.0,11.0,10.0,11.0,9.0,9.0,14.0,10.0,12.0,12.0,12.0,10.0,0.0,10.0,13.0,10.0,12.0,14.0,14.0,14.0,7.0,13.0,12.0,12.0,10.0,10.0,11.0,14.0,12.0,13.0,12.0,14.0,13.0,11.0,11.0,12.0,10.0,14.0,11.0,11.0,9.0,11.0,12.0,11.0,11.0,13.0,9.0,14.0,12.0,14.0,12.0,13.0,11.0,13.0,14.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,13.0,10.0,14.0,12.0,9.0,10.0,11.0,10.0,10.0,12.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,10.0,10.0,9.0,14.0,14.0,11.0,13.0,9.0,13.0,10.0,14.0,14.0,15.0,10.0,15.0,10.0,11.0,13.0,12.0,15.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,11.0,14.0,12.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0,14.0,12.0
tetrahydrocortisol glucuronide ,11.0,12.0,11.0,9.0,8.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,6.0,9.0,6.0,9.0,8.0,14.0,7.0,13.0,3.0,8.0,11.0,13.0,11.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,8.0,9.0,7.0,7.0,12.0,8.0,10.0,10.0,10.0,8.0,10.0,0.0,11.0,8.0,10.0,12.0,12.0,12.0,9.0,11.0,10.0,10.0,8.0,8.0,9.0,12.0,10.0,11.0,10.0,12.0,11.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,11.0,7.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,6.0,8.0,9.0,9.0,8.0,11.0,2.0,12.0,10.0,7.0,6.0,7.0,8.0,8.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,6.0,8.0,7.0,12.0,12.0,9.0,11.0,7.0,11.0,8.0,12.0,12.0,13.0,6.0,13.0,8.0,9.0,11.0,10.0,13.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,9.0,12.0,10.0,7.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,11.0,12.0,10.0
pantetheine,12.0,5.0,12.0,12.0,11.0,12.0,5.0,13.0,10.0,6.0,8.0,9.0,11.0,10.0,11.0,10.0,11.0,7.0,10.0,6.0,10.0,11.0,12.0,6.0,4.0,12.0,6.0,11.0,11.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,13.0,11.0,11.0,11.0,11.0,9.0,13.0,11.0,0.0,11.0,11.0,5.0,13.0,5.0,12.0,6.0,9.0,11.0,11.0,9.0,6.0,5.0,11.0,8.0,11.0,5.0,12.0,12.0,12.0,11.0,11.0,5.0,10.0,10.0,10.0,10.0,11.0,12.0,10.0,6.0,10.0,5.0,11.0,5.0,9.0,12.0,8.0,12.0,5.0,9.0,8.0,11.0,11.0,8.0,10.0,11.0,6.0,11.0,5.0,11.0,10.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,5.0,5.0,10.0,6.0,10.0,6.0,11.0,5.0,5.0,6.0,11.0,6.0,11.0,10.0,12.0,11.0,6.0,11.0,12.0,8.0,10.0,9.0,8.0,10.0,9.0,12.0,10.0,5.0,11.0,12.0,11.0,9.0,11.0,9.0,11.0,8.0,9.0,8.0,12.0,5.0,11.0
2-methylmalonylcarnitine (C4-DC),11.0,12.0,11.0,9.0,6.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,2.0,14.0,7.0,13.0,7.0,8.0,11.0,13.0,11.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,6.0,9.0,7.0,5.0,12.0,2.0,10.0,10.0,10.0,8.0,10.0,8.0,11.0,0.0,10.0,12.0,12.0,12.0,9.0,11.0,10.0,10.0,6.0,8.0,9.0,12.0,10.0,11.0,10.0,12.0,11.0,9.0,7.0,10.0,6.0,12.0,9.0,9.0,5.0,9.0,10.0,9.0,9.0,11.0,7.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,8.0,6.0,9.0,9.0,6.0,11.0,8.0,12.0,10.0,7.0,8.0,9.0,6.0,6.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,8.0,2.0,7.0,12.0,12.0,9.0,11.0,7.0,11.0,2.0,12.0,12.0,13.0,8.0,13.0,2.0,9.0,11.0,10.0,13.0,2.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,12.0,10.0,9.0,10.0,8.0,2.0,8.0,8.0,9.0,8.0,9.0,11.0,12.0,10.0
"5,6-dihydrouracil",11.0,12.0,11.0,11.0,10.0,11.0,12.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,7.0,10.0,14.0,9.0,13.0,9.0,10.0,11.0,13.0,11.0,11.0,9.0,10.0,10.0,12.0,7.0,9.0,10.0,7.0,9.0,9.0,12.0,10.0,8.0,10.0,10.0,6.0,12.0,10.0,11.0,10.0,0.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,8.0,9.0,12.0,10.0,11.0,8.0,12.0,11.0,11.0,11.0,8.0,10.0,12.0,7.0,7.0,9.0,7.0,10.0,11.0,7.0,11.0,9.0,12.0,10.0,12.0,10.0,11.0,9.0,11.0,12.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,12.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,4.0,7.0,8.0,7.0,10.0,10.0,9.0,12.0,12.0,7.0,11.0,9.0,11.0,10.0,12.0,12.0,13.0,10.0,13.0,10.0,9.0,11.0,10.0,13.0,10.0,11.0,9.0,7.0,8.0,9.0,9.0,8.0,11.0,7.0,12.0,10.0,11.0,10.0,8.0,10.0,6.0,10.0,9.0,8.0,9.0,11.0,12.0,4.0
"N,N-dimethylalanine",13.0,4.0,13.0,13.0,12.0,13.0,4.0,14.0,11.0,7.0,9.0,10.0,12.0,11.0,12.0,11.0,12.0,6.0,11.0,5.0,11.0,12.0,13.0,5.0,5.0,13.0,7.0,12.0,12.0,14.0,11.0,11.0,12.0,11.0,11.0,11.0,14.0,12.0,12.0,12.0,12.0,10.0,14.0,12.0,5.0,12.0,12.0,0.0,14.0,4.0,13.0,7.0,10.0,12.0,12.0,10.0,7.0,4.0,12.0,9.0,12.0,4.0,13.0,13.0,13.0,12.0,12.0,4.0,11.0,11.0,11.0,11.0,12.0,13.0,11.0,7.0,11.0,4.0,12.0,4.0,10.0,13.0,9.0,13.0,4.0,10.0,9.0,12.0,12.0,9.0,11.0,12.0,7.0,12.0,4.0,12.0,11.0,12.0,13.0,12.0,12.0,12.0,13.0,12.0,13.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,4.0,4.0,11.0,7.0,11.0,7.0,12.0,4.0,4.0,5.0,12.0,5.0,12.0,11.0,13.0,12.0,5.0,12.0,13.0,9.0,11.0,10.0,9.0,11.0,10.0,13.0,11.0,4.0,12.0,13.0,12.0,10.0,12.0,10.0,12.0,9.0,10.0,9.0,13.0,4.0,12.0
