,syringaldehyde,4-hydroxyhippurate,dihydroferulic acid sulfate,N(1)-acetylspermine,dexpanthenol,2-methylmalonylcarnitine (C4-DC),5-methylthioadenosine (MTA),tartronate (hydroxymalonate),spermine,gamma-CEHC,behenoyl ethanolamide (22:0)*,decanoylcarnitine (C10),1-linoleoyl-GPC (18:2),gamma-glutamylvaline,tauroursodeoxycholate,8-hydroxyoctanoate,beta-citrylglutamate,N-oleoylglycine,2-hydroxyheptanoate*,3-phenylpropionate (hydrocinnamate),xylose,pantetheine,taurochenodeoxycholate,hesperidin,leucylglycine,phenol sulfate,paraxanthine,ponciretin,pyridoxine (Vitamin B6),gamma-glutamylisoleucine*,etiocholanolone glucuronide,tiglyl carnitine (C5),chlorogenate,N-carbamoylalanine,methionine sulfone,N-carbamoylaspartate,1-linoleoyl-digalactosylglycerol (18:2)*,daidzein,gamma-glutamyltyrosine,histidine betaine (hercynine)*,N-methylleucine,4-acetamidobenzoate,epicatechin,isovitexin,luteolin,tetrahydrocortisol glucuronide ,"3,5-dihydroxyphenylpropionate",heptadecatrienoate (17:3)*,1-linoleoyl-GPE (18:2)*,myristoleoylcarnitine (C14:1)*,1-ribosyl-imidazoleacetate*,isobutyrylcarnitine (C4),guanidinosuccinate,(R)-salsolinol,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),3-hydroxyoctanoate,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),2-stearoyl-GPE (18:0)*,taurolithocholate 3-sulfate,tyrosylglycine,behenoyl sphingomyelin (d18:1/22:0)*,N1-methylinosine,"1,3-propanediol",tartarate,levulinate (4-oxovalerate),"sphingomyelin (d18:2/24:1, d18:1/24:2)*",beta-hydroxyisovalerate,solanidine,stearidonate (18:4n3),retinol (Vitamin A),C-glycosyltryptophan,N-propionylmethionine,"bilirubin (E,E)*",2-palmitoyl-GPC* (16:0)*,vanillin,3-methyl-2-oxobutyrate,vanillic acid glycine,linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,4-hydroxybenzoate,ergosterol,taurochenodeoxycholic acid 3-sulfate,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",N-acetylsphingosine,allo-threonine,8-hydroxyguanine,12-dehydrocholate,2-myristoylglycerol (14:0),cortolone glucuronide (1),ectoine,gamma-glutamylglutamate,"1,6-anhydroglucose",isoursodeoxycholate,pimelate (C7-DC),glycyrrhetinate,5-acetylamino-6-formylamino-3-methyluracil,N-succinyl-phenylalanine,gamma-glutamyl-alpha-lysine,3-hydroxymargarate,N-methyl-GABA,leucylalanine,dopamine 3-O-sulfate,3-(N-acetyl-L-cystein-S-yl) acetaminophen,diosmetin,glutarylcarnitine (C5-DC),hypotaurine,dihydrokaempferol,3-hydroxyhexanoate,ascorbic acid 3-sulfate*,propionylcarnitine (C3),dimethyl sulfone,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",citrate,indolin-2-one,palmitoylcholine,"5,6-dihydrothymine",N-acetylcarnosine,sarcosine,methyl indole-3-acetate,lithocholate,N-succinyl-leucine,2-oxo-1-pyrrolidinepropionate,indole,lanosterol,myristoylcarnitine (C14),3-hydroxystearate,"3,4-dihydroxyphenylacetate",maltol,p-cresol sulfate,dihydroquercetin,pseudouridine,soyasaponin I,3beta-hydroxy-5-cholestenoate,"N,N-dimethylalanine",3-hydroxydecanoate,"2,8-quinolinediol",isocaproate (i6:0),"1,5-anhydroglucitol (1,5-AG)",3-hydroxystachydrine*,N-acetyl-3-methylhistidine*,phenylacetylaspartate,ribitol,10-undecenoate (11:1n1),tryptamine,argininosuccinate,"1,3-dimethylurate",orotidine,eriodictyol,3-hydroxy-2-methylpyridine,vanillylmandelate (VMA),sucralose,"5,6-dihydrouracil",mannose,butyrylglycine (C4)
gamma-glutamylisoleucine*,401.0,551.0,351.0,301.0,451.0,451.0,401.0,201.0,501.0,401.0,551.0,451.0,501.0,1.0,451.0,301.0,251.0,301.0,451.0,351.0,501.0,201.0,451.0,501.0,1.0,351.0,451.0,451.0,401.0,0.0,451.0,451.0,551.0,301.0,251.0,251.0,501.0,451.0,251.0,251.0,251.0,451.0,501.0,451.0,401.0,451.0,351.0,451.0,501.0,451.0,351.0,451.0,251.0,351.0,451.0,301.0,451.0,501.0,451.0,1.0,401.0,351.0,451.0,451.0,301.0,451.0,451.0,451.0,401.0,401.0,401.0,251.0,401.0,501.0,401.0,301.0,551.0,401.0,451.0,451.0,451.0,401.0,401.0,301.0,401.0,501.0,501.0,401.0,301.0,251.0,351.0,501.0,451.0,401.0,451.0,251.0,1.0,451.0,201.0,1.0,351.0,351.0,451.0,451.0,301.0,501.0,301.0,451.0,451.0,401.0,551.0,201.0,401.0,501.0,451.0,301.0,251.0,451.0,501.0,251.0,401.0,401.0,401.0,451.0,451.0,451.0,401.0,351.0,501.0,351.0,501.0,501.0,251.0,301.0,401.0,501.0,451.0,251.0,251.0,251.0,451.0,451.0,401.0,251.0,451.0,351.0,451.0,401.0,401.0,501.0,451.0,501.0,301.0
etiocholanolone glucuronide,351.0,501.0,401.0,451.0,301.0,301.0,351.0,351.0,451.0,351.0,501.0,301.0,351.0,451.0,201.0,351.0,501.0,551.0,301.0,301.0,451.0,451.0,201.0,451.0,451.0,401.0,401.0,401.0,351.0,451.0,0.0,301.0,501.0,551.0,501.0,501.0,351.0,401.0,501.0,501.0,501.0,401.0,451.0,401.0,351.0,1.0,301.0,301.0,351.0,301.0,301.0,301.0,501.0,301.0,301.0,351.0,301.0,351.0,201.0,451.0,251.0,301.0,401.0,401.0,351.0,301.0,301.0,201.0,251.0,251.0,351.0,501.0,351.0,351.0,351.0,351.0,501.0,251.0,401.0,201.0,201.0,251.0,251.0,551.0,351.0,251.0,351.0,51.0,551.0,501.0,301.0,251.0,301.0,251.0,401.0,501.0,451.0,301.0,451.0,451.0,401.0,601.0,401.0,301.0,351.0,451.0,351.0,401.0,301.0,351.0,401.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,251.0,501.0,351.0,351.0,251.0,301.0,301.0,401.0,351.0,401.0,451.0,301.0,351.0,251.0,501.0,351.0,351.0,351.0,401.0,501.0,501.0,501.0,401.0,301.0,351.0,501.0,401.0,301.0,401.0,351.0,351.0,451.0,401.0,451.0,551.0
tiglyl carnitine (C5),351.0,501.0,401.0,451.0,201.0,1.0,351.0,351.0,451.0,351.0,501.0,1.0,351.0,451.0,301.0,351.0,501.0,551.0,201.0,301.0,451.0,451.0,301.0,451.0,451.0,401.0,401.0,401.0,351.0,451.0,301.0,0.0,501.0,551.0,501.0,501.0,351.0,401.0,501.0,501.0,501.0,401.0,451.0,401.0,351.0,301.0,301.0,201.0,351.0,1.0,301.0,1.0,501.0,301.0,301.0,351.0,301.0,351.0,301.0,451.0,251.0,301.0,401.0,401.0,351.0,301.0,201.0,301.0,151.0,251.0,351.0,501.0,351.0,351.0,351.0,351.0,501.0,151.0,401.0,301.0,301.0,251.0,251.0,551.0,351.0,351.0,351.0,251.0,551.0,501.0,301.0,351.0,201.0,251.0,401.0,501.0,451.0,201.0,451.0,451.0,401.0,601.0,401.0,1.0,351.0,451.0,351.0,401.0,1.0,351.0,401.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,351.0,501.0,351.0,351.0,251.0,1.0,201.0,401.0,351.0,401.0,451.0,301.0,351.0,351.0,501.0,351.0,351.0,251.0,401.0,501.0,501.0,501.0,401.0,201.0,351.0,501.0,401.0,301.0,401.0,351.0,351.0,451.0,401.0,451.0,551.0
chlorogenate,451.0,601.0,501.0,551.0,501.0,501.0,451.0,451.0,551.0,451.0,601.0,501.0,551.0,551.0,501.0,451.0,601.0,651.0,501.0,401.0,351.0,551.0,501.0,551.0,551.0,501.0,501.0,501.0,451.0,551.0,501.0,501.0,0.0,651.0,601.0,601.0,551.0,501.0,601.0,601.0,601.0,501.0,551.0,501.0,451.0,501.0,401.0,501.0,551.0,501.0,401.0,501.0,601.0,401.0,501.0,451.0,501.0,551.0,501.0,551.0,451.0,401.0,201.0,301.0,451.0,501.0,501.0,501.0,451.0,451.0,451.0,601.0,451.0,551.0,451.0,451.0,601.0,451.0,501.0,501.0,501.0,451.0,451.0,651.0,451.0,551.0,551.0,451.0,651.0,601.0,401.0,551.0,501.0,451.0,501.0,601.0,551.0,501.0,551.0,551.0,501.0,701.0,501.0,501.0,451.0,551.0,451.0,501.0,501.0,451.0,601.0,451.0,451.0,551.0,501.0,451.0,601.0,501.0,551.0,601.0,451.0,451.0,451.0,501.0,501.0,501.0,451.0,501.0,551.0,401.0,551.0,551.0,601.0,451.0,451.0,551.0,301.0,601.0,601.0,601.0,301.0,501.0,451.0,601.0,501.0,401.0,501.0,451.0,451.0,351.0,501.0,351.0,651.0
N-carbamoylalanine,501.0,651.0,451.0,401.0,551.0,551.0,501.0,301.0,601.0,501.0,651.0,551.0,601.0,301.0,551.0,401.0,151.0,201.0,551.0,451.0,601.0,201.0,551.0,601.0,301.0,451.0,551.0,551.0,501.0,301.0,551.0,551.0,651.0,0.0,151.0,151.0,601.0,551.0,151.0,151.0,151.0,551.0,601.0,551.0,501.0,551.0,451.0,551.0,601.0,551.0,451.0,551.0,151.0,451.0,551.0,401.0,551.0,601.0,551.0,301.0,501.0,451.0,551.0,551.0,401.0,551.0,551.0,551.0,501.0,501.0,501.0,151.0,501.0,601.0,501.0,401.0,651.0,501.0,551.0,551.0,551.0,501.0,501.0,201.0,501.0,601.0,601.0,501.0,201.0,151.0,451.0,601.0,551.0,501.0,551.0,151.0,301.0,551.0,201.0,301.0,451.0,251.0,551.0,551.0,401.0,601.0,401.0,551.0,551.0,501.0,651.0,301.0,501.0,601.0,551.0,401.0,151.0,551.0,601.0,151.0,501.0,501.0,501.0,551.0,551.0,551.0,501.0,451.0,601.0,451.0,601.0,601.0,151.0,401.0,501.0,601.0,551.0,151.0,151.0,151.0,551.0,551.0,501.0,151.0,551.0,451.0,551.0,501.0,501.0,601.0,551.0,601.0,201.0
methionine sulfone,451.0,601.0,401.0,351.0,501.0,501.0,451.0,251.0,551.0,451.0,601.0,501.0,551.0,251.0,501.0,351.0,101.0,151.0,501.0,401.0,551.0,151.0,501.0,551.0,251.0,401.0,501.0,501.0,451.0,251.0,501.0,501.0,601.0,151.0,0.0,101.0,551.0,501.0,101.0,101.0,101.0,501.0,551.0,501.0,451.0,501.0,401.0,501.0,551.0,501.0,401.0,501.0,101.0,401.0,501.0,351.0,501.0,551.0,501.0,251.0,451.0,401.0,501.0,501.0,351.0,501.0,501.0,501.0,451.0,451.0,451.0,101.0,451.0,551.0,451.0,351.0,601.0,451.0,501.0,501.0,501.0,451.0,451.0,51.0,451.0,551.0,551.0,451.0,51.0,101.0,401.0,551.0,501.0,451.0,501.0,101.0,251.0,501.0,151.0,251.0,401.0,201.0,501.0,501.0,351.0,551.0,351.0,501.0,501.0,451.0,601.0,251.0,451.0,551.0,501.0,351.0,1.0,501.0,551.0,101.0,451.0,451.0,451.0,501.0,501.0,501.0,451.0,401.0,551.0,401.0,551.0,551.0,101.0,351.0,451.0,551.0,501.0,101.0,101.0,101.0,501.0,501.0,451.0,101.0,501.0,401.0,501.0,451.0,451.0,551.0,501.0,551.0,151.0
N-carbamoylaspartate,451.0,601.0,401.0,351.0,501.0,501.0,451.0,251.0,551.0,451.0,601.0,501.0,551.0,251.0,501.0,351.0,101.0,151.0,501.0,401.0,551.0,151.0,501.0,551.0,251.0,401.0,501.0,501.0,451.0,251.0,501.0,501.0,601.0,151.0,101.0,0.0,551.0,501.0,101.0,101.0,101.0,501.0,551.0,501.0,451.0,501.0,401.0,501.0,551.0,501.0,401.0,501.0,1.0,401.0,501.0,351.0,501.0,551.0,501.0,251.0,451.0,401.0,501.0,501.0,351.0,501.0,501.0,501.0,451.0,451.0,451.0,101.0,451.0,551.0,451.0,351.0,601.0,451.0,501.0,501.0,501.0,451.0,451.0,151.0,451.0,551.0,551.0,451.0,151.0,101.0,401.0,551.0,501.0,451.0,501.0,101.0,251.0,501.0,151.0,251.0,401.0,201.0,501.0,501.0,351.0,551.0,351.0,501.0,501.0,451.0,601.0,251.0,451.0,551.0,501.0,351.0,101.0,501.0,551.0,101.0,451.0,451.0,451.0,501.0,501.0,501.0,451.0,401.0,551.0,401.0,551.0,551.0,101.0,351.0,451.0,551.0,501.0,101.0,101.0,1.0,501.0,501.0,451.0,1.0,501.0,401.0,501.0,451.0,451.0,551.0,501.0,551.0,151.0
1-linoleoyl-digalactosylglycerol (18:2)*,401.0,551.0,451.0,501.0,351.0,351.0,401.0,401.0,501.0,401.0,551.0,351.0,401.0,501.0,351.0,401.0,551.0,601.0,351.0,351.0,501.0,501.0,351.0,501.0,501.0,451.0,451.0,451.0,401.0,501.0,351.0,351.0,551.0,601.0,551.0,551.0,0.0,451.0,551.0,551.0,551.0,451.0,501.0,451.0,401.0,351.0,351.0,351.0,401.0,351.0,351.0,351.0,551.0,351.0,351.0,401.0,351.0,401.0,351.0,501.0,301.0,351.0,451.0,451.0,401.0,351.0,351.0,351.0,301.0,301.0,401.0,551.0,401.0,401.0,401.0,401.0,551.0,301.0,451.0,351.0,351.0,301.0,301.0,601.0,401.0,401.0,301.0,301.0,601.0,551.0,351.0,401.0,351.0,301.0,451.0,551.0,501.0,351.0,501.0,501.0,451.0,651.0,451.0,351.0,401.0,501.0,401.0,451.0,351.0,401.0,251.0,401.0,401.0,501.0,451.0,401.0,551.0,451.0,401.0,551.0,401.0,401.0,301.0,351.0,351.0,451.0,401.0,451.0,501.0,351.0,401.0,401.0,551.0,401.0,401.0,401.0,451.0,551.0,551.0,551.0,451.0,351.0,401.0,551.0,451.0,351.0,451.0,401.0,401.0,501.0,451.0,501.0,601.0
daidzein,351.0,501.0,401.0,451.0,401.0,401.0,351.0,351.0,451.0,351.0,501.0,401.0,451.0,451.0,401.0,351.0,501.0,551.0,401.0,201.0,451.0,451.0,401.0,351.0,451.0,401.0,401.0,301.0,351.0,451.0,401.0,401.0,501.0,551.0,501.0,501.0,451.0,0.0,501.0,501.0,501.0,401.0,351.0,301.0,251.0,401.0,201.0,401.0,451.0,401.0,301.0,401.0,501.0,301.0,401.0,351.0,401.0,451.0,401.0,451.0,351.0,301.0,401.0,401.0,351.0,401.0,401.0,401.0,351.0,351.0,351.0,501.0,351.0,451.0,351.0,351.0,501.0,351.0,401.0,401.0,401.0,351.0,351.0,551.0,351.0,451.0,451.0,351.0,551.0,501.0,301.0,451.0,401.0,351.0,401.0,501.0,451.0,401.0,451.0,451.0,401.0,601.0,301.0,401.0,351.0,351.0,351.0,401.0,401.0,351.0,501.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,451.0,501.0,351.0,351.0,351.0,401.0,401.0,401.0,351.0,401.0,351.0,301.0,451.0,451.0,501.0,351.0,351.0,451.0,401.0,501.0,501.0,501.0,401.0,401.0,351.0,501.0,401.0,301.0,301.0,351.0,351.0,451.0,401.0,451.0,551.0
gamma-glutamyltyrosine,451.0,601.0,401.0,351.0,501.0,501.0,451.0,251.0,551.0,451.0,601.0,501.0,551.0,251.0,501.0,351.0,101.0,151.0,501.0,401.0,551.0,151.0,501.0,551.0,251.0,401.0,501.0,501.0,451.0,251.0,501.0,501.0,601.0,151.0,101.0,101.0,551.0,501.0,0.0,101.0,101.0,501.0,551.0,501.0,451.0,501.0,401.0,501.0,551.0,501.0,401.0,501.0,101.0,401.0,501.0,351.0,501.0,551.0,501.0,251.0,451.0,401.0,501.0,501.0,351.0,501.0,501.0,501.0,451.0,451.0,451.0,101.0,451.0,551.0,451.0,351.0,601.0,451.0,501.0,501.0,501.0,451.0,451.0,151.0,451.0,551.0,551.0,451.0,151.0,101.0,401.0,551.0,501.0,451.0,501.0,101.0,251.0,501.0,151.0,251.0,401.0,201.0,501.0,501.0,351.0,551.0,351.0,501.0,501.0,451.0,601.0,251.0,451.0,551.0,501.0,351.0,101.0,501.0,551.0,101.0,451.0,451.0,451.0,501.0,501.0,501.0,451.0,401.0,551.0,401.0,551.0,551.0,101.0,351.0,451.0,551.0,501.0,101.0,101.0,101.0,501.0,501.0,451.0,101.0,501.0,401.0,501.0,451.0,451.0,551.0,501.0,551.0,151.0
histidine betaine (hercynine)*,451.0,601.0,401.0,351.0,501.0,501.0,451.0,251.0,551.0,451.0,601.0,501.0,551.0,251.0,501.0,351.0,101.0,151.0,501.0,401.0,551.0,151.0,501.0,551.0,251.0,401.0,501.0,501.0,451.0,251.0,501.0,501.0,601.0,151.0,101.0,101.0,551.0,501.0,101.0,0.0,101.0,501.0,551.0,501.0,451.0,501.0,401.0,501.0,551.0,501.0,401.0,501.0,101.0,401.0,501.0,351.0,501.0,551.0,501.0,251.0,451.0,401.0,501.0,501.0,351.0,501.0,501.0,501.0,451.0,451.0,451.0,101.0,451.0,551.0,451.0,351.0,601.0,451.0,501.0,501.0,501.0,451.0,451.0,151.0,451.0,551.0,551.0,451.0,151.0,101.0,401.0,551.0,501.0,451.0,501.0,101.0,251.0,501.0,151.0,251.0,401.0,201.0,501.0,501.0,351.0,551.0,351.0,501.0,501.0,451.0,601.0,251.0,451.0,551.0,501.0,351.0,101.0,501.0,551.0,101.0,451.0,451.0,451.0,501.0,501.0,501.0,451.0,401.0,551.0,401.0,551.0,551.0,101.0,351.0,451.0,551.0,501.0,101.0,1.0,101.0,501.0,501.0,451.0,101.0,501.0,401.0,501.0,451.0,451.0,551.0,501.0,551.0,151.0
N-methylleucine,451.0,601.0,401.0,351.0,501.0,501.0,451.0,251.0,551.0,451.0,601.0,501.0,551.0,251.0,501.0,351.0,101.0,151.0,501.0,401.0,551.0,151.0,501.0,551.0,251.0,401.0,501.0,501.0,451.0,251.0,501.0,501.0,601.0,151.0,101.0,101.0,551.0,501.0,101.0,101.0,0.0,501.0,551.0,501.0,451.0,501.0,401.0,501.0,551.0,501.0,401.0,501.0,101.0,401.0,501.0,351.0,501.0,551.0,501.0,251.0,451.0,401.0,501.0,501.0,351.0,501.0,501.0,501.0,451.0,451.0,451.0,101.0,451.0,551.0,451.0,351.0,601.0,451.0,501.0,501.0,501.0,451.0,451.0,151.0,451.0,551.0,551.0,451.0,151.0,101.0,401.0,551.0,501.0,451.0,501.0,101.0,251.0,501.0,151.0,251.0,401.0,201.0,501.0,501.0,351.0,551.0,351.0,501.0,501.0,451.0,601.0,251.0,451.0,551.0,501.0,351.0,101.0,501.0,551.0,1.0,451.0,451.0,451.0,501.0,501.0,501.0,451.0,401.0,551.0,401.0,551.0,551.0,101.0,351.0,451.0,551.0,501.0,101.0,101.0,101.0,501.0,501.0,451.0,101.0,501.0,401.0,501.0,451.0,451.0,551.0,501.0,551.0,151.0
4-acetamidobenzoate,251.0,201.0,401.0,451.0,401.0,401.0,351.0,351.0,451.0,351.0,501.0,401.0,451.0,451.0,401.0,351.0,501.0,551.0,401.0,301.0,451.0,451.0,401.0,451.0,451.0,401.0,401.0,401.0,351.0,451.0,401.0,401.0,501.0,551.0,501.0,501.0,451.0,401.0,501.0,501.0,501.0,0.0,451.0,401.0,351.0,401.0,301.0,401.0,451.0,401.0,301.0,401.0,501.0,301.0,401.0,351.0,401.0,451.0,401.0,451.0,351.0,301.0,401.0,401.0,351.0,401.0,401.0,401.0,351.0,351.0,351.0,501.0,351.0,451.0,251.0,351.0,201.0,351.0,101.0,401.0,401.0,351.0,351.0,551.0,351.0,451.0,451.0,351.0,551.0,501.0,301.0,451.0,401.0,351.0,401.0,501.0,451.0,401.0,451.0,451.0,401.0,601.0,401.0,401.0,351.0,451.0,351.0,401.0,401.0,351.0,501.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,451.0,501.0,351.0,351.0,351.0,401.0,401.0,301.0,351.0,401.0,451.0,301.0,451.0,451.0,501.0,351.0,351.0,451.0,401.0,501.0,501.0,501.0,401.0,401.0,351.0,501.0,401.0,301.0,401.0,351.0,251.0,451.0,401.0,451.0,551.0
epicatechin,401.0,551.0,451.0,501.0,451.0,451.0,401.0,401.0,501.0,401.0,551.0,451.0,501.0,501.0,451.0,401.0,551.0,601.0,451.0,251.0,501.0,501.0,451.0,301.0,501.0,451.0,451.0,251.0,401.0,501.0,451.0,451.0,551.0,601.0,551.0,551.0,501.0,351.0,551.0,551.0,551.0,451.0,0.0,251.0,201.0,451.0,251.0,451.0,501.0,451.0,351.0,451.0,551.0,351.0,451.0,401.0,451.0,501.0,451.0,501.0,401.0,351.0,451.0,451.0,401.0,451.0,451.0,451.0,401.0,401.0,401.0,551.0,401.0,501.0,401.0,401.0,551.0,401.0,451.0,451.0,451.0,401.0,401.0,601.0,401.0,501.0,501.0,401.0,601.0,551.0,351.0,501.0,451.0,401.0,451.0,551.0,501.0,451.0,501.0,501.0,451.0,651.0,251.0,451.0,401.0,201.0,401.0,451.0,451.0,401.0,551.0,401.0,401.0,501.0,451.0,401.0,551.0,451.0,501.0,551.0,401.0,401.0,401.0,451.0,451.0,451.0,401.0,451.0,201.0,351.0,501.0,501.0,551.0,401.0,401.0,501.0,451.0,551.0,551.0,551.0,451.0,451.0,401.0,551.0,451.0,351.0,151.0,401.0,401.0,501.0,451.0,501.0,601.0
isovitexin,351.0,501.0,401.0,451.0,401.0,401.0,351.0,351.0,451.0,351.0,501.0,401.0,451.0,451.0,401.0,351.0,501.0,551.0,401.0,201.0,451.0,451.0,401.0,151.0,451.0,401.0,401.0,201.0,351.0,451.0,401.0,401.0,501.0,551.0,501.0,501.0,451.0,301.0,501.0,501.0,501.0,401.0,251.0,0.0,151.0,401.0,201.0,401.0,451.0,401.0,301.0,401.0,501.0,301.0,401.0,351.0,401.0,451.0,401.0,451.0,351.0,301.0,401.0,401.0,351.0,401.0,401.0,401.0,351.0,351.0,351.0,501.0,351.0,451.0,351.0,351.0,501.0,351.0,401.0,401.0,401.0,351.0,351.0,551.0,351.0,451.0,451.0,351.0,551.0,501.0,301.0,451.0,401.0,351.0,401.0,501.0,451.0,401.0,451.0,451.0,401.0,601.0,201.0,401.0,351.0,251.0,351.0,401.0,401.0,351.0,501.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,451.0,501.0,351.0,351.0,351.0,401.0,401.0,401.0,351.0,401.0,251.0,301.0,451.0,451.0,501.0,351.0,351.0,451.0,401.0,501.0,501.0,501.0,401.0,401.0,351.0,501.0,401.0,301.0,201.0,351.0,351.0,451.0,401.0,451.0,551.0
luteolin,301.0,451.0,351.0,401.0,351.0,351.0,301.0,301.0,401.0,301.0,451.0,351.0,401.0,401.0,351.0,301.0,451.0,501.0,351.0,151.0,401.0,401.0,351.0,201.0,401.0,351.0,351.0,151.0,301.0,401.0,351.0,351.0,451.0,501.0,451.0,451.0,401.0,251.0,451.0,451.0,451.0,351.0,201.0,151.0,0.0,351.0,151.0,351.0,401.0,351.0,251.0,351.0,451.0,251.0,351.0,301.0,351.0,401.0,351.0,401.0,301.0,251.0,351.0,351.0,301.0,351.0,351.0,351.0,301.0,301.0,301.0,451.0,301.0,401.0,301.0,301.0,451.0,301.0,351.0,351.0,351.0,301.0,301.0,501.0,301.0,401.0,401.0,301.0,501.0,451.0,251.0,401.0,351.0,301.0,351.0,451.0,401.0,351.0,401.0,401.0,351.0,551.0,151.0,351.0,301.0,201.0,301.0,351.0,351.0,301.0,451.0,301.0,301.0,401.0,351.0,301.0,451.0,351.0,401.0,451.0,301.0,301.0,301.0,351.0,351.0,351.0,301.0,351.0,201.0,251.0,401.0,401.0,451.0,301.0,301.0,401.0,351.0,451.0,451.0,451.0,351.0,351.0,301.0,451.0,351.0,251.0,151.0,301.0,301.0,401.0,351.0,401.0,501.0
tetrahydrocortisol glucuronide ,351.0,501.0,401.0,451.0,301.0,301.0,351.0,351.0,451.0,351.0,501.0,301.0,351.0,451.0,201.0,351.0,501.0,551.0,301.0,301.0,451.0,451.0,201.0,451.0,451.0,401.0,401.0,401.0,351.0,451.0,1.0,301.0,501.0,551.0,501.0,501.0,351.0,401.0,501.0,501.0,501.0,401.0,451.0,401.0,351.0,0.0,301.0,301.0,351.0,301.0,301.0,301.0,501.0,301.0,301.0,351.0,301.0,351.0,201.0,451.0,251.0,301.0,401.0,401.0,351.0,301.0,301.0,201.0,251.0,251.0,351.0,501.0,351.0,351.0,351.0,351.0,501.0,251.0,401.0,201.0,201.0,251.0,251.0,551.0,351.0,251.0,351.0,51.0,551.0,501.0,301.0,251.0,301.0,251.0,401.0,501.0,451.0,301.0,451.0,451.0,401.0,601.0,401.0,301.0,351.0,451.0,351.0,401.0,301.0,351.0,401.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,251.0,501.0,351.0,351.0,251.0,301.0,301.0,401.0,351.0,401.0,451.0,301.0,351.0,251.0,501.0,351.0,351.0,351.0,401.0,501.0,501.0,501.0,401.0,301.0,351.0,501.0,401.0,301.0,401.0,351.0,351.0,451.0,401.0,451.0,551.0
"3,5-dihydroxyphenylpropionate",251.0,401.0,301.0,351.0,301.0,301.0,251.0,251.0,351.0,251.0,401.0,301.0,351.0,351.0,301.0,251.0,401.0,451.0,301.0,1.0,351.0,351.0,301.0,251.0,351.0,301.0,301.0,201.0,251.0,351.0,301.0,301.0,401.0,451.0,401.0,401.0,351.0,201.0,401.0,401.0,401.0,301.0,251.0,201.0,151.0,301.0,0.0,301.0,351.0,301.0,201.0,301.0,401.0,201.0,301.0,251.0,301.0,351.0,301.0,351.0,251.0,201.0,301.0,301.0,251.0,301.0,301.0,301.0,251.0,251.0,251.0,401.0,251.0,351.0,251.0,251.0,401.0,251.0,301.0,301.0,301.0,251.0,251.0,451.0,251.0,351.0,351.0,251.0,451.0,401.0,201.0,351.0,301.0,251.0,301.0,401.0,351.0,301.0,351.0,351.0,301.0,501.0,201.0,301.0,251.0,251.0,251.0,301.0,301.0,251.0,401.0,251.0,251.0,351.0,301.0,251.0,401.0,301.0,351.0,401.0,251.0,251.0,251.0,301.0,301.0,301.0,251.0,301.0,251.0,201.0,351.0,351.0,401.0,251.0,251.0,351.0,301.0,401.0,401.0,401.0,301.0,301.0,251.0,401.0,301.0,201.0,201.0,251.0,251.0,351.0,301.0,351.0,451.0
heptadecatrienoate (17:3)*,351.0,501.0,401.0,451.0,201.0,201.0,351.0,351.0,451.0,351.0,501.0,201.0,351.0,451.0,301.0,351.0,501.0,551.0,101.0,301.0,451.0,451.0,301.0,451.0,451.0,401.0,401.0,401.0,351.0,451.0,301.0,201.0,501.0,551.0,501.0,501.0,351.0,401.0,501.0,501.0,501.0,401.0,451.0,401.0,351.0,301.0,301.0,0.0,351.0,201.0,301.0,201.0,501.0,301.0,301.0,351.0,301.0,351.0,301.0,451.0,251.0,301.0,401.0,401.0,351.0,301.0,101.0,301.0,151.0,251.0,351.0,501.0,351.0,351.0,351.0,351.0,501.0,151.0,401.0,301.0,301.0,251.0,251.0,551.0,351.0,351.0,351.0,251.0,551.0,501.0,301.0,351.0,101.0,251.0,401.0,501.0,451.0,1.0,451.0,451.0,401.0,601.0,401.0,201.0,351.0,451.0,351.0,401.0,201.0,351.0,401.0,351.0,351.0,451.0,401.0,351.0,501.0,401.0,351.0,501.0,351.0,351.0,251.0,201.0,1.0,401.0,351.0,401.0,451.0,301.0,351.0,351.0,501.0,351.0,351.0,151.0,401.0,501.0,501.0,501.0,401.0,101.0,351.0,501.0,401.0,301.0,401.0,351.0,351.0,451.0,401.0,451.0,551.0
